Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;78382870-7;SERVICIOS DE ASEO Y JARDINES MACLEAN LIMITADA;69;04/10/2025;04/10/2025 09:36:05;06/10/2025 16:31:05;;0;3187500;605625;3793125;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
2;33;Del Giro;99597170-4;DOMINION SPA;70;09/10/2025;09/10/2025 20:18:51;;;0;6362706;1208914;7571620;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
3;33;Del Giro;99597170-4;DOMINION SPA;71;09/10/2025;09/10/2025 20:22:55;;;0;304038;57767;361805;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
4;33;Del Giro;99597170-4;DOMINION SPA;72;09/10/2025;09/10/2025 20:27:00;;;0;1835194;348687;2183881;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
5;33;Del Giro;99597170-4;DOMINION SPA;73;09/10/2025;09/10/2025 20:30:59;;;0;337875;64196;402071;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
6;33;Del Giro;99597170-4;DOMINION SPA;74;09/10/2025;09/10/2025 20:35:34;;;0;24498773;4654767;29153540;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
7;33;Del Giro;99597170-4;DOMINION SPA;75;09/10/2025;09/10/2025 20:39:13;;;0;264083;50176;314259;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
8;33;Del Giro;99597170-4;DOMINION SPA;76;09/10/2025;09/10/2025 20:43:25;;;0;23270263;4421350;27691613;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
9;33;Del Giro;99597170-4;DOMINION SPA;77;09/10/2025;09/10/2025 20:47:31;;;0;2786973;529525;3316498;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
10;33;Del Giro;99597170-4;DOMINION SPA;78;09/10/2025;09/10/2025 20:50:51;;10/10/2025 08:26:49;0;2786973;529525;3316498;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
11;33;Del Giro;99597170-4;DOMINION SPA;79;09/10/2025;09/10/2025 20:57:20;;;0;799505;151906;951411;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
12;33;Del Giro;76749017-8;ZENER AUSTRAL LIMITADA;80;17/10/2025;17/10/2025 14:25:55;;17/10/2025 17:03:25;0;18115339;3441914;21557253;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
13;33;Del Giro;76749017-8;ZENER AUSTRAL LIMITADA;81;17/10/2025;17/10/2025 16:31:12;20/10/2025 11:46:43;;0;18115339;3441914;21557253;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
14;61;Del Giro;99597170-4;DOMINION SPA;3;09/10/2025;09/10/2025 21:01:21;;10/10/2025 08:26:49;0;2786973;529525;3316498;0;0;0;0;0;-;0;0;0;0;33;78;;;0;;0;0;0;0;0;;;;90438277;;;;;
15;61;Del Giro;76749017-8;ZENER AUSTRAL LIMITADA;4;17/10/2025;17/10/2025 16:27:32;;17/10/2025 17:03:25;0;18115339;3441914;21557253;0;0;0;0;0;-;0;0;0;0;33;80;;;0;;0;0;0;0;0;;;;90438277;;;;;
