Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;76053001-8;SERVICIOS ROBOCON LIMITADA;58;05/09/2025;05/09/2025 16:57:00;;;0;1948000;370120;2318120;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;90438277;;;;;
2;33;Del Giro;76053001-8;SERVICIOS ROBOCON LIMITADA;59;09/09/2025;09/09/2025 23:53:14;;;0;1575200;299288;1874488;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;90438277;;;;;
3;33;Del Giro;99597170-4;DOMINION SPA;61;11/09/2025;11/09/2025 11:16:57;;;0;29323749;5571512;34895261;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
4;33;Del Giro;99597170-4;DOMINION SPA;62;11/09/2025;11/09/2025 11:29:45;;;0;9451842;1795850;11247692;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
5;33;Del Giro;99597170-4;DOMINION SPA;63;11/09/2025;11/09/2025 11:43:41;;;0;11554198;2195298;13749496;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
6;33;Del Giro;99597170-4;DOMINION SPA;64;11/09/2025;11/09/2025 11:48:39;;;0;337875;64196;402071;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
7;33;Del Giro;99597170-4;DOMINION SPA;65;11/09/2025;11/09/2025 11:54:09;;;0;2715961;516033;3231994;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
8;33;Del Giro;99597170-4;DOMINION SPA;66;11/09/2025;11/09/2025 11:57:51;;;0;455488;86543;542031;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
9;33;Del Giro;99597170-4;DOMINION SPA;67;11/09/2025;11/09/2025 12:01:17;;;0;1884592;358072;2242664;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
10;33;Del Giro;76749017-8;ZENER AUSTRAL LIMITADA;68;17/09/2025;17/09/2025 09:49:46;17/09/2025 12:21:50;;0;20055510;3810547;23866057;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
11;61;Del Giro;76053001-8;SERVICIOS ROBOCON LIMITADA;2;09/09/2025;09/09/2025 14:58:24;;;0;1948000;370120;2318120;0;0;0;0;0;-;0;0;0;0;33;58;;;0;;0;0;0;0;0;;;;90438277;;;;;
