Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;76297157-7;COMERCIAL FELIPE QUIROZ Y PENALOZA LIMITADA;171597;01/09/2025;01/09/2025 09:48:30;;0;29503;5606;;;40000;;;;;0;;;;0;28;4891;0;
2;33;Del Giro;77650070-4;MIRANDA E HIJO COMPANIA LIMITADA;1286327;01/09/2025;01/09/2025 09:50:02;;0;23046;4379;;;40000;;;;12575;0;;;;0;35;12575;0;
3;33;Del Giro;76111453-0;GO CAPITAL SPA;28849;31/08/2025;01/09/2025 12:32:37;;0;10000;1900;;;11900;;;;;0;;;;0;;;;
4;33;Del Giro;76660002-6;COMERCIAL LA PUNTA LIMITADA;511833;02/09/2025;02/09/2025 09:07:15;;0;29619;5628;;;40000;;;;;0;;;;0;28;4753;0;
5;33;Del Giro;76297157-7;COMERCIAL FELIPE QUIROZ Y PENALOZA LIMITADA;171683;02/09/2025;02/09/2025 10:30:48;;0;25077;4765;;;34000;;;;;0;;;;0;28;4158;0;
6;33;Del Giro;77062578-5;EL REY DEL NEUMATICO SPA;9387;02/09/2025;02/09/2025 16:25:14;;0;115966;22034;;;138000;;;;;0;;;;0;;;;
7;33;Del Giro;4948536-0;JOSE ELIAS RAMOS LOPEZ;503;02/09/2025;02/09/2025 17:26:34;;0;57143;10857;;;68000;;;;;0;;;;0;;;;
8;33;Del Giro;76297157-7;COMERCIAL FELIPE QUIROZ Y PENALOZA LIMITADA;171728;02/09/2025;02/09/2025 18:19:43;;0;29503;5606;;;40000;;;;;0;;;;0;28;4891;0;
9;33;Del Giro;76568660-1;EASY RETAIL S.A.;36071062;03/09/2025;03/09/2025 09:24:47;;0;32908;6252;;;39160;;;;;0;;;;0;;;;
10;33;Del Giro;77949720-8;MAC COMERCIAL LTDA;147170;03/09/2025;03/09/2025 10:57:37;;0;29372;5581;;;40000;;;;;0;;;;0;28;5047;0;
11;33;Del Giro;76468732-9;ASESORIAS AUDITORIAS E INVERSIONES CERTILAP CHILE S.A.;14250;03/09/2025;03/09/2025 13:27:48;;0;3500;665;;;4165;;;;;0;;;;0;;;;
12;33;Del Giro;76468732-9;ASESORIAS AUDITORIAS E INVERSIONES CERTILAP CHILE S.A.;14253;03/09/2025;03/09/2025 13:34:10;;0;2100;399;;;2499;;;;;0;;;;0;;;;
13;33;Del Giro;76833720-9;ABARROTES ECONOMICOS S.A.;48290682;03/09/2025;03/09/2025 14:18:07;;0;44134;8385;;;54467;;;;;0;;;;0;18;1308;5;
;33;Del Giro;76833720-9;ABARROTES ECONOMICOS S.A.;48290682;03/09/2025;;;;;;;;;;;;;;;;;;271;524;18;
;33;Del Giro;76833720-9;ABARROTES ECONOMICOS S.A.;48290682;03/09/2025;;;;;;;;;;;;;;;;;;27;116;10;
14;33;Del Giro;77215640-5;ADMINISTRADORA DE VENTAS AL DETALLE LTDA;21498461;03/09/2025;03/09/2025 18:50:28;;0;14646;2783;;;20000;;;;;0;;;;0;28;2571;0;
15;33;Del Giro;96792430-K;SODIMAC S.A.;142188771;03/09/2025;03/09/2025 19:30:08;;0;64437;12243;;;76680;;;;;0;;;;0;;;;
16;33;Del Giro;77822999-4;MECANICO GERMAN AMERICO SEGOVIA ROJAS E.I.R.L.;26;03/09/2025;03/09/2025 21:57:34;;0;404000;76760;;;480760;;;;;0;;;;0;;;;
17;33;Del Giro;77985710-7;COMERCIAL Y SERVICIOS SAN IGNACIO LTDA;761721;04/09/2025;04/09/2025 06:53:48;;0;34336;6524;;;45463;;;;;0;;;;0;28;4603;0;
18;33;Del Giro;77127807-8;COMERCIALIZADORA Y DISTRIBUIDORA COFRE L;243426;04/09/2025;04/09/2025 08:08:52;;0;30321;5761;;;40000;;;;;0;;;;0;28;3918;0;
19;33;Del Giro;76297157-7;COMERCIAL FELIPE QUIROZ Y PENALOZA LIMITADA;171845;04/09/2025;04/09/2025 08:17:46;;0;21916;4164;;;29060;;;;;0;;;;0;28;2980;0;
20;33;Del Giro;76638865-5;COMERCIALIZADORA Y DISTRIBUIDORA NORTE C;334566;04/09/2025;04/09/2025 10:03:06;;0;34118;6482;;;45014;;;;;0;;;;0;28;4414;0;
21;33;Del Giro;77662097-1;SOCIEDAD LOS RIEGOS SPA;53569;04/09/2025;04/09/2025 12:40:20;;0;37655;7154;;;50000;;;;;0;;;;0;28;5191;0;
22;33;Del Giro;76341442-6;ESTACION DE SERVICIOS EL VALLE LIMITADA;357523;04/09/2025;04/09/2025 14:34:29;;0;45038;8557;;;59421;;;;;0;;;;0;28;5826;0;
23;33;Del Giro;4215132-7;RAFAEL ANTONIO ORELLANA CONCHA;365730;04/09/2025;04/09/2025 16:52:09;;0;14413;2738;;;19008;;;;;0;;;;0;28;1857;0;
24;33;Del Giro;77302763-3;RACH GASOIL LIMITADA;37685;04/09/2025;04/09/2025 18:38:22;;0;15934;3027;;;21007;;;;;0;;;;0;28;2046;0;
25;33;Del Giro;76833720-9;ABARROTES ECONOMICOS S.A.;48290790;04/09/2025;04/09/2025 18:52:15;;0;8808;1673;;;10481;;;;;0;;;;0;;;;
26;33;Del Giro;76453390-9;SOCIEDAD HOTEL ASTORE LIMITADA;21205;04/09/2025;04/09/2025 19:00:17;;0;157648;29953;;;187601;;;;;0;;;;0;;;;
27;33;Del Giro;96548810-3;SOC DE SERVICIOS LOS CANELOS DE MIRAFLORES S.A.;19444;04/09/2025;04/09/2025 22:22:32;;0;383072;72784;;;455856;;;;;0;;;;0;;;;
28;33;Del Giro;53324749-0;SUCESION DARIO SEGUNDO VIDAL ROJO;2078;04/09/2025;04/09/2025 22:32:34;;0;80000;15200;;;95200;;;;;0;;;;0;;;;
29;33;Del Giro;76660002-6;COMERCIAL LA PUNTA LIMITADA;512739;05/09/2025;05/09/2025 07:46:13;;0;22403;4257;;;29612;;;;;0;;;;0;28;2952;0;
30;33;Del Giro;96548810-3;SOC DE SERVICIOS LOS CANELOS DE MIRAFLORES S.A.;19457;04/09/2025;05/09/2025 11:21:57;;0;340100;64619;;;404719;;;;;0;;;;0;;;;
31;33;Del Giro;96992030-1;Sociedad Concesionaria Vespucio Norte Express S.A.;4542723;04/09/2025;05/09/2025 14:06:20;;10738;1204;229;;;12171;;;;;0;;;;0;;;;
