Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;76058647-1;VERISURE CHILE SPA;9917527;01/01/2025;02/01/2025 01:37:55;06/01/2025 11:40:37;0;42645;8103;;;50748;;;;;0;;;;0;;;;
2;33;Del Giro;89005900-7;SOCIEDAD COMERCIAL ANTUCO LTDA.;1706438;02/01/2025;02/01/2025 11:47:17;;0;15661;2975;;;20000;;;;;0;;;;0;28;1364;0;
3;33;Del Giro;96938840-5;BLUE EXPRESS S.A;2230104;02/01/2025;02/01/2025 12:25:04;;0;11621;2208;;;13829;;;;;0;;;;0;;;;
4;33;Del Giro;96938840-5;BLUE EXPRESS S.A;2230105;02/01/2025;02/01/2025 12:27:36;;0;9052;1720;;;10772;;;;;0;;;;0;;;;
5;33;Del Giro;96792430-K;SODIMAC S.A.;137035323;02/01/2025;02/01/2025 16:01:03;;0;50412;9578;;;59990;;;;;0;;;;0;;;;
6;33;Del Giro;77252670-9;Soc. Com. Neira y Fonseca Spa.;13782;03/01/2025;03/01/2025 09:13:16;;0;450000;85500;;;535500;;;;;0;;;;0;;;;
7;33;Del Giro;77252670-9;Soc. Com. Neira y Fonseca Spa.;13783;03/01/2025;03/01/2025 09:14:18;;0;504000;95760;;;599760;;;;;0;;;;0;;;;
8;33;Del Giro;76090364-7;SOCIEDAD COMERCIAL DAMPAUL LIMITADA;846382;03/01/2025;03/01/2025 09:56:36;;0;27525;5230;;;35002;;;;;0;;;;0;28;2247;0;
9;33;Del Giro;96792430-K;SODIMAC S.A.;137447969;04/01/2025;04/01/2025 12:28:09;;0;25202;4788;;;29990;;;;;0;;;;0;;;;
10;33;Del Giro;81201000-K;CENCOSUD RETAIL S.A.;23234176;05/01/2025;05/01/2025 12:55:27;;0;15965;3033;;;18998;;;;;0;;;;0;;;;
11;33;Del Giro;81201000-K;CENCOSUD RETAIL S.A.;23229872;05/01/2025;05/01/2025 13:02:09;;0;10059;1911;;;11970;;;;;0;;;;0;;;;
12;33;Del Giro;97004000-5;Banco de Chile;42211123;23/12/2024;05/01/2025 18:37:19;;0;22941;4359;;;27300;;;;;0;;;;0;;;;
13;33;Del Giro;76548591-6;CAMIPLAS SPA;127789;06/01/2025;06/01/2025 09:36:27;06/01/2025 11:41:18;0;1230000;233700;;;1463700;;;;;0;;;;0;;;;
14;33;Del Giro;5744296-4;RODOLFO EDUARDO CROXATTO OVANDO;1112;06/01/2025;06/01/2025 12:59:24;;0;3155000;599450;;;3754450;;;;;0;;;;0;;;;
15;33;Del Giro;76052927-3;Soc. Conc. Autopista Nueva Vespucio Sur S.A.;1368329;06/01/2025;06/01/2025 14:33:45;08/01/2025 19:14:20;2419;602;114;;;3135;;;;;0;;;;0;;;;
16;33;Del Giro;5744296-4;RODOLFO EDUARDO CROXATTO OVANDO;1114;07/01/2025;07/01/2025 11:29:28;;0;12980;2466;;;15446;;;;;0;;;;0;;;;
17;33;Del Giro;77094345-0;CENTRO DE SERVICIOS FOCACCI BORQUEZ LTDA;101364;07/01/2025;07/01/2025 14:03:15;;0;23491;4463;;;30000;;;;;0;;;;0;28;2046;0;
18;33;Del Giro;78493650-3;RIADI SpA.;407819;08/01/2025;07/01/2025 16:55:43;;0;64680;12289;;;76969;;;;;0;;;;0;;;;
19;33;Del Giro;96756430-3;CHILEXPRESS S.A.;12420274;08/01/2025;08/01/2025 14:41:14;08/01/2025 19:14:30;0;14084;2676;;;16760;;;;;0;;;;0;;;;
20;33;Del Giro;77404174-5;DISTRIBUIDORA PLASTICOS ARIRANG SPA;15656;08/01/2025;08/01/2025 15:33:59;;0;78151;14849;;;93000;;;;;0;;;;0;;;;
21;33;Del Giro;96945440-8;SOC CONCESIONARIA AUTOPISTA CENTRAL S A;10722338;08/01/2025;08/01/2025 18:52:50;15/01/2025 17:42:14;44037;577;110;;;44724;;;;;0;;;;0;;;;
