Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;76015462-8;COMERCIAL Y SERVICIOS BC LIMITADA;181920;02/01/2025;02/01/2025 12:02:53;;0;23494;4464;;;30000;;;;;0;;;;0;28;2042;0;
2;33;Del Giro;76111453-0;GO CAPITAL SPA;25423;31/12/2024;03/01/2025 10:32:16;;0;59000;11210;;;70210;;;;;0;;;;0;;;;
3;33;Del Giro;77973482-K;SUNSET DISTRIBUIDORA SPA;7297;04/01/2025;04/01/2025 12:38:57;;0;47138;8956;;;60000;;;;;0;;;;0;28;3906;0;
4;33;Del Giro;76638865-5;COMERCIALIZADORA Y DISTRIBUIDORA NORTE C;303665;05/01/2025;05/01/2025 09:51:14;;0;46516;8838;;;59014;;;;;0;;;;0;28;3660;0;
5;33;Del Giro;77025939-8;ESTACION DE SERVICIO PEREZ BRAVO LIMITAD;170619;05/01/2025;05/01/2025 14:28:40;;0;45246;8597;;;57396;;;;;0;;;;0;28;3553;0;
6;33;Del Giro;77215640-5;ADMINISTRADORA DE VENTAS AL DETALLE LTDA;19651956;06/01/2025;06/01/2025 09:32:45;;0;58830;11178;;;74613;;;;;0;;;;0;28;4605;0;
7;33;Del Giro;76410378-5;COMERCIAL Y SERVICIOS FRAELI LIMITADA;492600;06/01/2025;06/01/2025 14:48:11;;0;42971;8165;;;54549;;;;;0;;;;0;28;3413;0;
8;33;Del Giro;96542490-3;TRECK S A;2563798;07/01/2025;07/01/2025 10:01:11;;0;14900;2831;;;17731;;;;;0;;;;0;;;;
9;33;Del Giro;9450111-3;JACHURA RIVAS FERNANDO DANIEL;195441;07/01/2025;07/01/2025 10:16:55;;0;31524;5990;;;40000;;;;;0;;;;0;28;2486;0;
10;33;Del Giro;76468732-9;ASESORIAS AUDITORIAS E INVERSIONES CERTILAP CHILE S.A.;9939;07/01/2025;07/01/2025 12:08:06;;0;4200;798;;;4998;;;;;0;;;;0;;;;
11;33;Del Giro;78875760-3;COMBUSTIBLES ARICA LIMITADA;534569;07/01/2025;07/01/2025 20:47:21;;0;31524;5990;;;40000;;;;;0;;;;0;28;2486;0;
