Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;96756430-3;CHILEXPRESS S.A.;12596825;28/04/2025;28/04/2025 10:01:53;;0;16284;3094;;;19378;;;;;0;;;;0;;;;
2;33;Del Giro;84078800-8;Importadora INDRA SA;1084838;29/04/2025;29/04/2025 11:52:11;;0;179529;34111;;;213640;;;;;0;;;;0;;;;
3;33;Del Giro;77190692-3;SOCIEDAD OPERADORA DE TARJETAS DE PAGO SANTANDER GETNET CHILE S.A.;4361453;30/04/2025;30/04/2025 22:50:07;;0;21406;4067;;;25473;;;;;0;;;;0;;;;
4;33;Del Giro;76587994-9;COMERCIAL BEISA LIMITADA;120107;02/05/2025;02/05/2025 13:52:56;;0;22210;4220;;;40000;;;;13570;0;;;;0;35;13570;0;
5;33;Del Giro;76278709-1;KITTY CUEVA ARIAS Y CIA. LTDA;340546;03/05/2025;03/05/2025 09:01:21;;0;35513;6747;;;50000;;;;;0;;;;0;28;7740;0;
6;33;Del Giro;76218711-6;EXPENDIO DE COMBUSTIBLE Y MINIMARKET CARLOS ALBERTO HERRERA;541577;03/05/2025;03/05/2025 10:09:13;;0;20979;3986;;;30000;;;;;0;;;;0;28;5035;0;
7;33;Del Giro;76453390-9;SOCIEDAD HOTEL ASTORE LIMITADA;19307;03/05/2025;03/05/2025 14:05:27;;0;218152;41449;;;259601;;;;;0;;;;0;;;;
8;33;Del Giro;77650070-4;MIRANDA E HIJO COMPANIA LIMITADA;1245514;03/05/2025;03/05/2025 14:23:31;;0;28410;5398;;;40000;;;;;0;;;;0;28;6192;0;
9;33;Del Giro;77650070-4;MIRANDA E HIJO COMPANIA LIMITADA;1245640;04/05/2025;04/05/2025 12:14:50;;0;21308;4048;;;30000;;;;;0;;;;0;28;4644;0;
10;33;Del Giro;76805366-9;COMERCIALIZADORA Y DISTRIBUIDORA FORMAR;84973;04/05/2025;04/05/2025 15:11:14;;0;28430;5402;;;40000;;;;;0;;;;0;28;6168;0;
11;33;Del Giro;77479058-6;COMERCIAL Y SERVICIOS REDHAUS 360 LIMITADA;31158;04/05/2025;04/05/2025 18:43:54;;0;19693;3742;;;35749;;;;12314;0;;;;0;35;12314;0;
12;33;Del Giro;76638865-5;COMERCIALIZADORA Y DISTRIBUIDORA NORTE C;319722;05/05/2025;05/05/2025 12:09:31;;0;25802;4902;;;45370;;;;14666;0;;;;0;35;14666;0;
13;33;Del Giro;76111453-0;GO CAPITAL SPA;27060;30/04/2025;05/05/2025 13:01:29;;0;30000;5700;;;35700;;;;;0;;;;0;;;;
14;33;Del Giro;77353149-8;REPUESTOS AUTOMOTRICES MARTA GONZALEZ E I R L;1171;05/05/2025;05/05/2025 15:30:31;;0;79832;15168;;;95000;;;;;0;;;;0;;;;
15;33;Del Giro;78008099-K;FERRETERÍA Y VENTA DE REPUESTOS AUTOMOTRICES CLAUDIO GERARDO GUERRA;238;05/05/2025;05/05/2025 15:54:44;;0;85000;16150;;;101150;;;;;0;;;;0;;;;
16;33;Del Giro;94625000-7;INVERSIONES ENEX S.A.;5311260;05/05/2025;05/05/2025 16:08:44;;0;23286;4424;;;33004;;;;;0;;;;0;28;5294;0;
17;33;Del Giro;76297157-7;COMERCIAL FELIPE QUIROZ Y PENALOZA LIMITADA;163090;05/05/2025;05/05/2025 17:51:27;;0;20066;3813;;;28496;;;;;0;;;;0;28;4617;0;
18;33;Del Giro;77989340-5;BEY KAHN Y COMPANIA LIMITADA;303491;05/05/2025;05/05/2025 20:18:22;;0;25020;4754;;;43995;;;;14221;0;;;;0;35;14221;0;
19;33;Del Giro;76453390-9;SOCIEDAD HOTEL ASTORE LIMITADA;19341;05/05/2025;05/05/2025 21:54:18;;0;381766;72536;;;454302;;;;;0;;;;0;;;;
20;33;Del Giro;77078217-1;INVERSIONES LUNA Y COMPANIA LIMITADA;175198;06/05/2025;06/05/2025 11:36:45;;0;29692;5641;;;51984;;;;16651;0;;;;0;35;16651;0;
21;33;Del Giro;79773490-K;PRESTACIONES CALDERA LTDA;1443;06/05/2025;06/05/2025 12:11:41;;0;50420;9580;;;60000;;;;;0;;;;0;;;;
22;33;Del Giro;76805366-9;COMERCIALIZADORA Y DISTRIBUIDORA FORMAR;85104;06/05/2025;06/05/2025 14:18:22;;0;16351;3107;;;28558;;;;9100;0;;;;0;35;9100;0;
23;33;Del Giro;76410378-5;COMERCIAL Y SERVICIOS FRAELI LIMITADA;507426;06/05/2025;06/05/2025 20:02:14;;0;30142;5727;;;52830;;;;16961;0;;;;0;35;16961;0;
24;33;Del Giro;76841297-9;SOCIEDAD COMERCIAL SAN FRANCISCO SPA;2404;07/05/2025;07/05/2025 16:03:09;;0;45798;8702;;;54500;;;;;0;;;;0;;;;
25;33;Del Giro;78875760-3;COMBUSTIBLES ARICA LIMITADA;551732;07/05/2025;07/05/2025 16:34:56;;0;6844;1300;;;12000;;;;3856;0;;;;0;35;3856;0;
26;33;Del Giro;76183140-2;Comercial Lagos e Hijos Ltda.;34552;08/05/2025;08/05/2025 15:41:22;;0;39780;7558;;;47338;;;;;0;;;;0;;;;
27;33;Del Giro;76337147-6;COMERCIAL Y SERVICIOS ECASIO LIMITADA;263887;08/05/2025;08/05/2025 19:52:09;;0;50874;9666;;;72217;;;;;0;;;;0;28;11677;0;
28;33;Del Giro;77650070-4;MIRANDA E HIJO COMPANIA LIMITADA;1247492;09/05/2025;09/05/2025 15:15:37;;0;14078;2675;;;20000;;;;;0;;;;0;28;3247;0;
29;33;Del Giro;76297157-7;COMERCIAL FELIPE QUIROZ Y PENALOZA LIMITADA;163368;09/05/2025;09/05/2025 15:53:05;;0;13951;2651;;;20000;;;;;0;;;;0;28;3398;0;
30;33;Del Giro;76278709-1;KITTY CUEVA ARIAS Y CIA. LTDA;343013;11/05/2025;11/05/2025 09:06:07;;0;28157;5350;;;40000;;;;;0;;;;0;28;6493;0;
31;33;Del Giro;77127807-8;COMERCIALIZADORA Y DISTRIBUIDORA COFRE L;223122;11/05/2025;11/05/2025 10:32:07;;0;14078;2675;;;20000;;;;;0;;;;0;28;3247;0;
32;33;Del Giro;99581430-7;ADRIAZOLA REPUESTOS SPA;1001647;13/05/2025;13/05/2025 13:32:56;;0;285879;54317;;;340196;;;;;0;;;;0;;;;
33;33;Del Giro;78639020-6;IMPORTADORA IANMARC LIMITADA;148101;13/05/2025;13/05/2025 13:49:38;;0;66528;12640;;;79168;;;;;0;;;;0;;;;
34;33;Del Giro;77197637-9;COMERCIAL KAM LIMITADA;264574;13/05/2025;13/05/2025 16:35:54;;0;35740;6791;;;50735;;;;;0;;;;0;28;8204;0;
35;33;Del Giro;76297157-7;COMERCIAL FELIPE QUIROZ Y PENALOZA LIMITADA;163650;13/05/2025;13/05/2025 19:09:50;;0;20927;3976;;;30000;;;;;0;;;;0;28;5097;0;
36;33;Del Giro;4215132-7;RAFAEL ANTONIO ORELLANA CONCHA;355950;13/05/2025;13/05/2025 21:35:28;;0;31888;6059;;;45300;;;;;0;;;;0;28;7353;0;
37;33;Del Giro;52002857-9;ANDRES CARLOS APEY VALENZUELA EST SERV;298558;14/05/2025;14/05/2025 12:46:22;;0;35191;6686;;;50001;;;;;0;;;;0;28;8124;0;
38;33;Del Giro;78875760-3;COMBUSTIBLES ARICA LIMITADA;552840;14/05/2025;14/05/2025 19:09:04;;0;22763;4325;;;40000;;;;12912;0;;;;0;35;12912;0;
39;33;Del Giro;76858220-3;CERTIF DE CUMPLIM DE OBLIGACIONES LABORALES Y PREVIS CHILE S.A.;41742;15/05/2025;15/05/2025 15:09:27;;0;8015;1523;;;9538;;;;;0;;;;0;;;;
40;33;Del Giro;76905452-9;COMERCIAL DEL VALLE Y MUNOZ LIMITADA;158602;15/05/2025;15/05/2025 22:50:31;;0;27159;5160;;;40000;;;;;0;;;;0;28;7681;0;
41;33;Del Giro;77973482-K;SUNSET DISTRIBUIDORA SPA;18010;16/05/2025;16/05/2025 18:23:47;;0;24516;4658;;;35706;;;;;0;;;;0;28;6532;0;
42;33;Del Giro;77413794-7;ALFASERVICE CHILE SPA;64;18/05/2025;18/05/2025 20:53:58;;0;2100000;399000;;;2499000;;;;;0;;;;0;;;;
43;33;Del Giro;76858220-3;CERTIF DE CUMPLIM DE OBLIGACIONES LABORALES Y PREVIS CHILE S.A.;41923;19/05/2025;19/05/2025 17:34:43;;0;8316;1580;;;9896;;;;;0;;;;0;;;;
44;33;Del Giro;76297157-7;COMERCIAL FELIPE QUIROZ Y PENALOZA LIMITADA;164100;20/05/2025;20/05/2025 08:15:38;;0;20607;3915;;;30000;;;;;0;;;;0;28;5478;0;
45;33;Del Giro;77078244-9;X CAPITAL SPA;158444;20/05/2025;20/05/2025 12:17:44;;0;50420;9580;;;60000;;;;;0;;;;0;;;;
46;33;Del Giro;76858220-3;CERTIF DE CUMPLIM DE OBLIGACIONES LABORALES Y PREVIS CHILE S.A.;42025;20/05/2025;20/05/2025 15:25:30;;0;9800;1862;;;11662;;;;;0;;;;0;;;;
47;33;Del Giro;76297157-7;COMERCIAL FELIPE QUIROZ Y PENALOZA LIMITADA;164166;21/05/2025;21/05/2025 08:22:56;;0;27476;5221;;;40000;;;;;0;;;;0;28;7303;0;
48;33;Del Giro;77650070-4;MIRANDA E HIJO COMPANIA LIMITADA;1251278;21/05/2025;21/05/2025 14:59:15;;0;27754;5273;;;40000;;;;;0;;;;0;28;6973;0;
49;33;Del Giro;78598190-1;VICTOR HUGO CORTES BRAVO Y CIA LTD;602177;22/05/2025;22/05/2025 08:59:10;;0;37733;7169;;;65622;;;;20720;0;;;;0;35;20720;0;
50;33;Del Giro;76453390-9;SOCIEDAD HOTEL ASTORE LIMITADA;19635;22/05/2025;22/05/2025 09:56:52;;0;54538;10362;;;64900;;;;;0;;;;0;;;;
51;33;Del Giro;77127807-8;COMERCIALIZADORA Y DISTRIBUIDORA COFRE L;225120;22/05/2025;22/05/2025 10:57:34;;0;34516;6557;;;47438;;;;;0;;;;0;28;6365;0;
52;33;Del Giro;76410378-5;COMERCIAL Y SERVICIOS FRAELI LIMITADA;509242;22/05/2025;22/05/2025 13:34:39;;0;6103;1160;;;10611;;;;3348;0;;;;0;35;3348;0;
53;33;Del Giro;77215640-5;ADMINISTRADORA DE VENTAS AL DETALLE LTDA;20732313;22/05/2025;22/05/2025 17:25:48;;0;18408;3497;;;26058;;;;;0;;;;0;28;4153;0;
54;33;Del Giro;77215640-5;ADMINISTRADORA DE VENTAS AL DETALLE LTDA;20732063;22/05/2025;22/05/2025 18:42:36;;0;25733;4889;;;44598;;;;13976;0;;;;0;35;13976;0;
55;33;Del Giro;77181210-4;ADMINISTRADORA DE ESTACIONES DE SERVICIOS VIA SERVICE LIMITADA;184984;22/05/2025;22/05/2025 19:00:12;;0;22150;4209;;;32001;;;;;0;;;;0;28;5642;0;
56;33;Del Giro;76411561-9;COMERCIAL CAMINITO LIMITADA;385187;23/05/2025;23/05/2025 10:42:28;;0;15629;2969;;;21195;;;;;0;;;;0;28;2597;0;
57;33;Del Giro;76297157-7;COMERCIAL FELIPE QUIROZ Y PENALOZA LIMITADA;164382;23/05/2025;23/05/2025 18:27:09;;0;28003;5321;;;40000;;;;;0;;;;0;28;6676;0;
58;33;Del Giro;77572299-1;COMERCIAL Y SERVICIOS PEREZ LIMITADA;35366;23/05/2025;23/05/2025 23:20:33;;0;9865;1874;;;14082;;;;;0;;;;0;28;2343;0;
59;33;Del Giro;77757071-4;COMERCIAL REHREN PALACIOS SPA;21046;24/05/2025;24/05/2025 12:53:45;;0;35321;6711;;;50000;;;;;0;;;;0;28;7968;0;
60;33;Del Giro;76940039-7;SOCIEDAD COMERCIAL ESCOBAR SpA;15756;24/05/2025;24/05/2025 15:03:35;;0;22680;4309;;;26989;;;;;0;;;;0;;;;
61;33;Del Giro;76940039-7;SOCIEDAD COMERCIAL ESCOBAR SpA;15757;24/05/2025;24/05/2025 15:09:09;;0;31068;5903;;;36971;;;;;0;;;;0;;;;
62;33;Del Giro;76653500-3;COMERCIAL Y SERVICIOS ZIVA LIMITADA;220359;26/05/2025;26/05/2025 08:19:14;;0;20836;3959;;;30000;;;;;0;;;;0;28;5205;0;
63;33;Del Giro;76297157-7;COMERCIAL FELIPE QUIROZ Y PENALOZA LIMITADA;164512;26/05/2025;26/05/2025 09:33:20;;0;21003;3990;;;30000;;;;;0;;;;0;28;5007;0;
64;33;Del Giro;77650070-4;MIRANDA E HIJO COMPANIA LIMITADA;1252746;26/05/2025;26/05/2025 14:10:41;;0;14129;2684;;;20000;;;;;0;;;;0;28;3187;0;
65;33;Del Giro;76468732-9;ASESORIAS AUDITORIAS E INVERSIONES CERTILAP CHILE S.A.;12257;27/05/2025;27/05/2025 09:12:59;;0;2100;399;;;2499;;;;;0;;;;0;;;;
66;33;Del Giro;76297157-7;COMERCIAL FELIPE QUIROZ Y PENALOZA LIMITADA;164634;27/05/2025;27/05/2025 19:57:39;;0;14003;2660;;;20000;;;;;0;;;;0;28;3337;0;
67;33;Del Giro;76183140-2;Comercial Lagos e Hijos Ltda.;34718;28/05/2025;28/05/2025 15:38:18;;0;84100;15979;;;100079;;;;;0;;;;0;;;;
68;33;Del Giro;77197637-9;COMERCIAL KAM LIMITADA;267469;28/05/2025;28/05/2025 17:56:50;;0;23080;4385;;;40000;;;;12535;0;;;;0;35;12535;0;
69;33;Del Giro;77139221-0;FALCOM SPA;126056;28/05/2025;28/05/2025 18:28:55;;0;35192;6687;;;50568;;;;;0;;;;0;28;8689;0;
70;33;Del Giro;96792430-K;SODIMAC S.A.;140179113;29/05/2025;29/05/2025 19:22:31;;0;31395;5965;;;37360;;;;;0;;;;0;;;;
71;33;Del Giro;76940039-7;SOCIEDAD COMERCIAL ESCOBAR SpA;15867;29/05/2025;29/05/2025 20:00:08;;0;5706;1084;;;6790;;;;;0;;;;0;;;;
72;33;Del Giro;76058799-0;COMERCIAL Y SERVICIOS PALAU LIMITADA;175366;29/05/2025;29/05/2025 22:49:08;;0;28193;5357;;;40000;;;;;0;;;;0;28;6450;0;
73;33;Del Giro;76858986-0;MAWE SPA;670;30/05/2025;30/05/2025 09:41:26;;0;14034;2666;;;16700;;;;;0;;;;0;;;;
74;33;Del Giro;78209000-3;AVANTEC S.A;16031;30/05/2025;30/05/2025 17:23:09;;0;4080000;775200;;;4855200;;;;;0;;;;0;;;;
75;33;Del Giro;76567598-7;COMERCIAL Y SERVICIOS A Y D LIMITADA;268738;31/05/2025;31/05/2025 08:45:01;;0;28502;5415;;;40000;;;;;0;;;;0;28;6083;0;
76;33;Del Giro;76653500-3;COMERCIAL Y SERVICIOS ZIVA LIMITADA;220948;31/05/2025;31/05/2025 10:17:32;;0;14120;2683;;;20000;;;;;0;;;;0;28;3197;0;
77;33;Del Giro;76653556-9;SOCIEDAD MEJIA SPA;365;28/05/2025;31/05/2025 10:55:04;;0;19328;3672;;;23000;;;;;0;;;;0;;;;
