Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;76468732-9;ASESORIAS AUDITORIAS E INVERSIONES CERTILAP CHILE S.A.;15474;01/12/2025;01/12/2025 11:22:20;;0;2800;532;;;3332;;;;;0;;;;0;;;;
2;33;Del Giro;76468732-9;ASESORIAS AUDITORIAS E INVERSIONES CERTILAP CHILE S.A.;15476;01/12/2025;01/12/2025 11:28:18;;0;2800;532;;;3332;;;;;0;;;;0;;;;
3;33;Del Giro;76111453-0;GO CAPITAL SPA;30336;30/11/2025;01/12/2025 12:21:54;;0;30000;5700;;;35700;;;;;0;;;;0;;;;
4;33;Del Giro;96792430-K;SODIMAC S.A.;143976225;01/12/2025;01/12/2025 17:20:36;;0;131937;25068;;;157005;;;;;0;;;;0;;;;
5;33;Del Giro;76185341-4;ILP DESIGN S.P.A.;4128;02/12/2025;02/12/2025 00:29:10;;0;81500;15485;;;96985;;;;;0;;;;0;;;;
6;33;Del Giro;76973145-8;Maquinarias Fyj SpA;4499;02/12/2025;02/12/2025 12:24:40;;0;20588;3912;;;24500;;;;;0;;;;0;;;;
7;33;Del Giro;76577516-7;Repuestos Fabian Andres Rojas Gomez E.I.R.L.;8523;02/12/2025;02/12/2025 13:20:41;;0;20084;3816;;;23900;;;;;0;;;;0;;;;
8;33;Del Giro;76090364-7;SOCIEDAD COMERCIAL DAMPAUL LIMITADA;948706;02/12/2025;02/12/2025 20:10:58;;0;27056;5141;;;35244;;;;;0;;;;0;28;3047;0;
9;33;Del Giro;76369177-2;TRONGEMEN SPA;14317;03/12/2025;03/12/2025 09:05:20;;0;50412;9578;;;59990;;;;;0;;;;0;;;;
10;33;Del Giro;99520000-7;COPEC S.A.;30387691;30/11/2025;03/12/2025 11:56:46;;0;1264760;240305;;;1687528;;;;38877;0;;;;0;35;38877;0;
